Name,Population
Gonzalez,"648,730"
Rodriguez,"541,922"
Gomez,"492,130"
Fernandez,"460,797"
Lopez,"445,374"
Diaz,"397,338"
Martinez,"381,687"
Perez,"330,820"
Garcia,"320,032"
Sanchez,"308,149"
Romero,"296,144"
Sosa,"216,540"
Torres,"192,977"
Alvarez,"192,942"
Ruiz,"187,546"
Ramirez,"179,144"
Flores,"165,661"
Benitez,"160,980"
Acosta,"158,202"
Medina,"155,525"
Herrera,"149,507"
Suarez,"147,327"
Aguirre,"145,998"
Gimenez,"144,375"
Gutierrez,"143,475"
Pereyra,"141,610"
Rojas,"140,086"
Molina,"136,383"
Castro,"131,344"
Ortiz,"124,792"
Silva,"122,455"
Nuñez,"119,777"
Luna,"119,402"
Juarez,"116,653"
Cabrera,"113,902"
Rios,"113,851"
Morales,"111,252"
Godoy,"110,604"
Moreno,"108,439"
Ferreyra,"108,039"
Dominguez,"107,804"
Carrizo,"104,267"
Peralta,"104,103"
Castillo,"103,513"
Ledesma,"101,912"
Quiroga,"101,826"
Vega,"99,028"
Vera,"95,803"
Muñoz,"93,416"
Ojeda,"93,261"
Ponce,"91,634"
Villalba,"89,460"
Cardozo,"88,612"
Navarro,"85,006"
Coronel,"84,643"
Vazquez,"84,390"
Ramos,"84,255"
Vargas,"83,588"
Caceres,"82,553"
Arias,"82,215"
Figueroa,"81,755"
Cordoba,"79,402"
Correa,"79,274"
Maldonado,"79,195"
Paz,"78,650"
Rivero,"77,564"
Miranda,"77,355"
Mansilla,"76,831"
Farias,"74,709"
Roldan,"74,270"
Mendez,"73,665"
Guzman,"72,678"
Aguero,"71,935"
Hernandez,"71,162"
Lucero,"71,055"
Cruz,"70,025"
Paez,"69,888"
Escobar,"69,534"
Mendoza,"69,434"
Barrios,"69,355"
Bustos,"68,208"
Avila,"67,498"
Ayala,"66,073"
Blanco,"66,005"
Soria,"65,762"
Maidana,"64,253"
Acuña,"64,170"
Leiva,"64,001"
Duarte,"61,341"
Moyano,"60,532"
Campos,"60,424"
Soto,"60,022"
Martin,"59,442"
Valdez,"58,370"
Bravo,"58,348"
Chavez,"57,810"
Velazquez,"57,773"
Olivera,"57,435"
Toledo,"57,309"
Franco,"57,221"
Ibañez,"56,760"
Leguizamon,"56,502"
Montenegro,"56,160"
Delgado,"54,527"
Arce,"53,919"
Ibarra,"53,915"
Gallardo,"53,840"
Santillan,"53,123"
Acevedo,"52,947"
Aguilar,"52,723"
Vallejos,"52,484"
Contreras,"52,425"
Alegre,"52,243"
Galvan,"51,547"
Oviedo,"51,183"
Aranda,"50,823"
Albornoz,"50,532"
Baez,"49,931"
Sandoval,"49,805"
Barrionuevo,"48,009"
Veron,"46,754"
Gauna,"46,321"
Zarate,"46,256"
Heredia,"45,740"
Mercado,"44,991"
Monzon,"44,880"
Marquez,"44,739"
Zalazar,"44,601"
Mamani,"44,571"
Coria,"44,451"
Segovia,"44,100"
Romano,"43,765"
Jimenez,"43,541"
Salinas,"43,228"
Quinteros,"43,156"
Barrera,"43,106"
Ortega,"42,834"
Cabral,"42,739"
Palacios,"42,188"
Cejas,"42,138"
Quintana,"42,008"
Zapata,"41,971"
Rosales,"40,838"
Altamirano,"40,548"
Nieva,"40,539"
Bazan,"40,294"
Alonso,"40,271"
Burgos,"40,153"
Bustamante,"40,145"
Varela,"40,003"
Lescano,"39,301"
Aguilera,"38,934"
Paredes,"38,335"
Avalos,"37,840"
Cuello,"37,612"
Aquino,"37,459"
Orellana,"37,305"
Caballero,"37,300"
Reynoso,"36,723"
Reyes,"36,641"
Villarreal,"36,588"
Alarcon,"36,432"
Pacheco,"36,019"
Tapia,"35,875"
Galarza,"35,533"
Ocampo,"35,489"
Meza,"35,439"
Guerrero,"34,899"
Salas,"34,818"
Frias,"34,785"
Videla,"34,686"
Miño,"34,618"
Jara,"34,547"
Garay,"34,478"
Rossi,"34,476"
Lezcano,"34,474"
Valenzuela,"34,287"
Oliva,"33,741"
Fuentes,"33,677"
Robledo,"33,667"
Espindola,"33,522"
Nieto,"33,469"
Pereira,"33,359"
Brizuela,"33,325"
Andrada,"33,037"
Maciel,"32,946"
Funes,"32,722"
Robles,"32,722"
Sotelo,"32,591"
Cortez,"32,567"
Almiron,"32,307"
Rivas,"32,225"
Gil,"31,695"
Villegas,"31,637"
Calderon,"30,681"
Vergara,"30,649"
Carabajal,"30,557"
Ceballos,"30,132"
Gallo,"29,454"
Palavecino,"29,432"
Barreto,"29,404"
Alderete,"29,213"
Escudero,"29,212"
Saavedra,"29,190"
Serrano,"29,162"
Almada,"28,539"
Galeano,"28,516"
Espinosa,"28,427"
Villagra,"28,386"
Gerez,"27,876"
Solis,"27,867"
Ochoa,"27,813"
Escalante,"27,719"
Luque,"27,155"
Amaya,"26,977"
Arguello,"26,941"
Salazar,"26,186"
Lazarte,"26,133"
Barrientos,"25,984"
Vidal,"25,853"
Machado,"25,790"
Ferreira,"25,663"
Argañaraz,"25,471"
Iglesias,"25,334"
Guevara,"25,242"
Centurion,"25,138"
Esquivel,"24,733"
Lencina,"24,684"
Jaime,"24,409"
Cano,"24,338"
Lujan,"24,190"
Espinoza,"24,080"
Palacio,"24,018"
Villanueva,"23,886"
Salvatierra,"23,759"
Guerra,"23,754"
Barraza,"23,670"
Bordon,"23,654"
Saucedo,"23,650"
Ferrari,"23,646"
Costa,"23,623"
Rolon,"23,364"
Zabala,"22,768"
Albarracin,"22,471"
Duran,"22,442"
Peña,"22,433"
Tello,"22,375"
Quiroz,"22,329"
Montes,"22,105"
Alfonso,"21,918"
Brito,"21,893"
Marin,"21,835"
Moreira,"21,646"
Olmos,"21,538"
Montiel,"21,475"
Pintos,"21,429"
Olmedo,"21,366"
Bruno,"21,352"
Villafañe,"21,212"
Arroyo,"21,187"
Reinoso,"21,150"
Araujo,"20,960"
Gorosito,"20,947"
Cisneros,"20,908"
Quevedo,"20,903"
Montero,"20,887"
Barros,"20,874"
Moya,"20,826"
Basualdo,"20,773"
Carballo,"20,658"
Insaurralde,"20,657"
Prieto,"20,523"
Alcaraz,"20,504"
Santos,"20,359"
Corvalan,"20,190"
Chamorro,"20,093"
Casas,"20,058"
Carranza,"20,053"
Moreyra,"19,997"
Chaves,"19,808"
Riquelme,"19,773"
Arevalo,"19,747"
Bogado,"19,678"
Sequeira,"19,629"
Amarilla,"19,444"
Parra,"19,303"
Corbalan,"19,299"
Veliz,"19,202"
Falcon,"19,192"
Moran,"19,099"
Cantero,"19,047"
Otero,"19,028"
Rocha,"19,026"
Lobo,"18,986"
Cuevas,"18,829"
Roman,"18,807"
Caro,"18,705"
Jofre,"18,685"
Nievas,"18,623"
Pinto,"18,607"
Arrieta,"18,513"
Portillo,"18,501"
Rivera,"18,473"
Gramajo,"18,252"
Quintero,"18,216"
Russo,"18,215"
Carrasco,"18,194"
Castaño,"18,147"
Vivas,"18,097"
Gamarra,"18,057"
Ludueña,"17,937"
Britez,"17,836"
Britos,"17,815"
Cortes,"17,815"
Becerra,"17,777"
Prado,"17,730"
Barboza,"17,726"
Merlo,"17,726"
Hidalgo,"17,699"
Olguin,"17,699"
Taborda,"17,656"
Tolaba,"17,655"
Villa,"17,485"
Leon,"17,443"
Sarmiento,"17,436"
Cañete,"17,358"
Gaitan,"17,348"
Sanabria,"17,157"
Ovejero,"17,140"
da Silva,"17,130"
Pavon,"17,121"
Rey,"17,034"
Mora,"16,879"
Vasquez,"16,677"
Cardenas,"16,660"
Cornejo,"16,618"
Orellano,"16,573"
dos Santos,"16,496"
Alaniz,"16,373"
Araya,"16,343"
Vallejo,"16,308"
Enriquez,"16,291"
Bianchi,"16,189"
Barroso,"16,062"
Calvo,"16,019"
Lemos,"15,971"
Casco,"15,937"
Trejo,"15,917"
Andrade,"15,859"
Balmaceda,"15,840"
Palma,"15,838"
Alvarado,"15,837"
Toloza,"15,498"
Jerez,"15,458"
Brandan,"15,390"
Baigorria,"15,389"
Montoya,"15,164"
Llanos,"15,091"
Pizarro,"15,055"
Encina,"15,006"
Padilla,"14,977"
Leal,"14,892"
Sepulveda,"14,842"
Ferrero,"14,820"
Rueda,"14,758"
Cardoso,"14,735"
Lara,"14,694"
Rivarola,"14,679"
Alfaro,"14,671"
Garrido,"14,616"
Segura,"14,602"
Lugo,"14,579"
Banegas,"14,578"
Chaparro,"14,561"
Lorenzo,"14,522"
Borda,"14,479"
Cuellar,"14,369"
Colombo,"14,315"
Muller,"14,200"
Ahumada,"14,084"
Abregu,"13,989"
Quispe,"13,967"
Villar,"13,918"
Cepeda,"13,826"
Gordillo,"13,826"
Sena,"13,796"
Ordoñez,"13,683"
Lamas,"13,614"
Tevez,"13,599"
Fleitas,"13,512"
Salto,"13,508"
Pucheta,"13,489"
