Name,Total
Alcantara,10209
Veloso,13812
Silverio,6900
Muller,6303
Feliciano,7217
Honorio,7081
Assuncao,17257
de Aquino,2590098
Resende,18122
Pimenta,10031
Amancio,5998
Moreno,6774
Mello,27924
Tenorio,4396
Clemente,9541
da Paixao,1471477
Aquino,11827
Leao,16165
Goulart,8043
de Sena,2591199
Vilela,11229
de Siqueira,2620627
Honorato,4185
Balbino,4105
Paz,14493
Esteves,8556
Januario,6182
de Deus,2587753
Ferreira da Silva,2243668
Botelho,16436
da Penha,1472347
Quirino,6195
Lourenço,34733
Gregorio,8292
Valentim,5593
Alves da Silva,2224507
Sobrinho,27778
dos Passos,648428
Pantoja,1343
Araújo,147323
Fontes,9851
Meireles,6464
Brasil,35991
Vitorino,6653
da Paz,1472799
Guerra,17179
Cardozo,5526
Calixto,8742
Nobre,5187
de Sales,2610197
Aires,9106
Novais,6675
Claudino,9005
Modesto,5846
Rossi,6995
Bonfim,21961
Cassiano,5183
Severo,4569
Vicente,111305
Valerio,5080
Gouveia,9480
Motta,9048
Romao,5839
Barcelos,14557
Caldeira,12029
Ferrari,7866
de Vasconcelos,2605880
Fraga,7267
Veiga,10253
Patricio,4567
Nery,6595
Novaes,8876
Meira,8125
Dourado,5950
Jardim,33795
Mattos,11440
Basilio,7708
Linhares,10724
Gomes da Silva,2153868
Borba,10057
Rodrigues da Silva,2234348
Toledo,28585
Schneider,5548
Bomfim,2984
Caldas,24677
Delfino,4148
Vital,6705
Gaspar,14133
Laurindo,5256
Rios,11249
de Alencar,2599505
da Mota,1483629
de Mattos,2590567
Bittencourt,8155
Serra,84722
Souto,6933
Goes,8505
Henrique Silva,1659091
Arcanjo,3942
da Gloria,1473061
Marcondes,7994
de Lira,2590675
Fidelis,5077
Lobato,8242
Aragao,5681
Avila,6096
Henrique dos Santos,1026338
de Figueiredo,2600416
Belo,229214
Ribas,8199
Arantes,6497
de Paulo,3210089
Carmo,104962
Florentino,3748
Portela,7081
Holanda,6586
Estevam,2870
Pedrosa,6252
Prestes,5024
Alvarenga,17054
de Alcantara,2590505
Fortunato,5039
Saldanha,7803
Camara,16775
Felicio,5721
Estevao,6929
Pereira dos Santos,1293713
Cipriano,7290
Lucena,6267
Bonifacio,13731
Neri,4942
Apolinario,5925
Schmidt,2342
Castilho,6480
Clementino,3694
Marquês,7367
Marcolino,3296
de Mendonca,2602813
Tome,9778
Porfirio,3240
Pinho,9017
Valente,6420
Verissimo,5630
do Vale,640468
Aleixo,5416
Nicolau,9689
Floriano,21646
Figueira,6859
Coimbra,5896
Veras,3102
Marcal,3424
Leme,13499
Meneses,3961
Loureiro,8229
Becker,2216
Luiz,219070
Belarmino,3278
Constantino,5509
Prates,4970
Trajano,3400
Bitencourt,7607
Alves dos Santos,1200758
Maximo,3718
Martinez,3122
Simplicio,2466
Alexandre,105312
Salles,12557
Figueredo,3176
Cavalheiro,2496
Falcao,9018
Bernardo,90090
Conceição,153248
Beserra,1038
Augusto,138712
Godoy,8028
Henrique Pereira,437910
Perez,7442
Sobral,8451
Henrique Santos,807267
Crispim,3084
Ortiz,3099
Henrique Ferreira,345024
Carlos,309248
Campelo,3363
Henrique Alves,330272
Adao,10987
Lessa,5634
Sodre,7487
Anastacio,4658
Magno,6695
Malaquias,2168
Cassimiro,2716
Henriques,3813
Lara,6513
Cesario,6895
Antonio,566398
Vianna,7772
Ambrosio,6756
Marcelino,12230
Pedro,168830
Thomaz,8635
Weber,1754
Penha,17816
Marins,3046
Mascarenhas,7465
Miguel,57611
Ferreira dos Santos,1215181
Madeira,4480
da Mata,1469729
Branco,69827
Sarmento,4406
Ignacio,4222
Gois,4094
Rego,9982
Pena,13453
Mathias,4272
Donizetti,2109
Henrique Rodrigues,329565
Noronha,6771
Brum,6096
Zacarias,4825
Ruiz,3108
Quintino,9245
Telles,3677
Salgado,13737
Gil,6775
Anacleto,2795
Francelino,1906
Medina,3073
Henrique de Oliveira,2787194
Espindola,2125
Felipe,28004
Vale,13600
Klein,800
de Avila,2588162
Nobrega,6995
Elias,29060
da Hora,1466226
Fortes,5216
Alves de Oliveira,2920528
Quaresma,2215
de Fatima da Silva,4217583
Viegas,2667
Munhoz,4784
de Rezende,2597543
Frazao,1878
Theodoro,3446
de Assuncao,2595202
Godinho,3022
Neris,1035
Fogaca,1572
Romero,4528
Flor,9242
Rodrigues dos Santos,1201345
Hoffmann,1551
Cezario,1796
Procopio,6208
Varela,3228
Delgado,2924
Henrique de Souza,2764125
Sacramento,5616
Jorge,59237
de Magalhaes,2611562
Fialho,2376
Gusmao,6892
Timoteo,8380
de Lara,2589024
Henrique Oliveira,533171
Lucas,21246
Leitao,4705
de Olíveira,2585284
Maximiano,1903
de Mesquita,2607262
Bosco,6101
Feitoza,842
Canuto,2472
do Couto,645043
Zeferino,3835
Inocencio,3511
Gabriel,24847
Junqueira,7617
Jose,904802
Rolim,3765
Targino,1227
Alexandrino,3398
Maria,992182
Liberato,2681
Ribeiro da Silva,2174331
Graciano,1893
Romano,2860
Guerreiro,2221
Gonzalez,1291
Palmeira,7807
dos Prazeres,628289
Cirino,1580
Cintra,5677
Camelo,1987
Euzebio,2844
Junior,72794
Terra,8533
Torquato,2547
Macena,1023
Roberto,77950
Corrêa,79276
de Toledo,2601611
Alves de Souza,2897873
Claro,18714
Bessa,3126
Nepomuceno,4197
Mourao,8603
Seixas,3754
Alves Pereira,622137
de Godoy,2589777
Guimarães,40997
Dal,2315
Godoi,3950
Navarro,4217
de Nazare,2590701
Anjos,16283
Tiburcio,3399
Izidoro,2192
Ximenes,1633
Gouvea,2438
Sartori,4465
Alonso,3665
Barcellos,2159
Fontoura,4461
Leandro,21741
Vitorio,5422
Narciso,3325
de Vargas,2615091
da Trindade,1483849
Casagrande,4525
de Quadros,2587494
Gimenes,1760
Soares da Silva,2185090
de Fatima Silva,3902979
Basso,5325
Gadelha,1441
Boaventura,3908
Nazario,1495
Dorneles,1503
Batista da Silva,2196993
Henrique Gomes,237647
Furlan,2780
de Lemos,2596575
Mafra,4019
Bentes,2255
Dionizio,1655
Damaceno,1410
Pio,8031
Pereira de Souza,2977218
de Jesus Silva,3914904
de Lurdes,2587226
Prudencio,1437
da Gama,1485567
Ayres,3408
de Lucena,2588421
da Anunciacao,1466341
Ramires,1117
Gualberto,3147
Magela,2336
das Merces,174875
Uchoa,3078
Luna,2929
da Silva Santos,2635514
de Fatima Pereira,2867095
Tobias,4557
Berto,1404
Cortes,3198
Luíz,25
Pascoal,4246
Sanchez,1223
Juliao,2470
Reboucas,3616
Schmitt,508
Lopes da Silva,2115116
Schmitz,637
Fontana,2637
Barbosa da Silva,2205176
Ricardo,43564
Paim,2194
Ponciano,1280
Fermino,1307
Martin,6439
dos Santos Silva,2425029
Jordao,8299
Rosa da Silva,2112362
Benites,553
Fonsêca,0
de Pontes,2595399
Taveira,1713
Raimundo,46537
das Virgens,173293
Valadares,24484
de Lourdes da Silva,4213568
Vasconcellos,2567
Bernardi,4479
Quadros,3996
Salvador,206817
de Pinho,2589991
Cristina,92993
Baia,1391
Fiuza,1892
Molina,1804
Pessanha,1689
Alvares,15385
Salomao,8743
Fragoso,2445
Hipolito,3272
Palma,4601
Cortez,2355
de Padua,2587472
Vieira da Silva,2188175
de Goes,2590101
Mantovani,1263
Felisberto,2662
Trevisan,4912
